name,volume,count,cost,sum cost
поддон,0.0,16.0,200.0,3200.0
флакон,0.1,0.0,0.0,0.0
флакон белый под умывалки,0.1,-480.0,10.0,-4800.0
флакон белый под тоник,0.1,2200.0,10.0,22000.0
флакон под мусс для умывания,0.1,685.0,25.0,17125.0
флакон прозрачный под шампунь,0.25,588.0,25.0,14700.0
флакон фигурный,1.0,9800.0,25.0,245000.0
флакон прозрачный,0.1,0,0,0.0
флакон прозрачный под гели для душа,0.25,0.0,10.0,0.0
флакон белый под кератолитик,0.5,0,0,0.0
,0.3,0,0,0.0
,1,0,0,0.0
,0.01,0,0,0.0
,0.03,0,0,0.0
пенообразователь,0.1,1585.0,35.0,55475.0
флакон под пробники,0.015,0.0,5.0,0.0
флакон под пробники,0.03,537.0,5.0,2685.0
дозатор для пробников 18/240,0.0,0.0,0.0,0.0
крышка белая к пробникам,0.0,0.0,0.0,0.0
дозатор 28*415 лепесток,0.0,4400.0,10.0,44000.0
дозатор к умывалкам Китай,0.0,0.0,0.0,0.0
флакон белый под интимгель,0.25,1222.0,0.0,0.0
,0.25,0,0,0.0
дозатор белый 24/410 для шампуня,0.0,0.0,0.0,0.0
дозатор 24/410 для крема,0.0,2747.0,10.0,27470.0
туба день роза,0.05,8930.0,15.0,133950.0
туба день зрелая,0.05,8782.0,15.0,131730.0
туба день лаванда,0.05,8721.0,15.0,130815.0
туба ночь роза,0.05,9690.0,15.0,145350.0
туба ночь зрелая,0.05,9391.0,15.0,140865.0
туба ночь лаванда,0.05,9984.0,15.0,149760.0
туба SOS маска ,0.25,4613.0,20.0,92260.0
туба Укрепляющая маска,0.25,7735.0,20.0,154700.0
,0.05,0,0,0.0
,0.075,0,0,0.0
,0.1,0,0,0.0
,5,0,0,0.0
,3,0,0,0.0
,5,0,0,0.0
,0.5,0,0,0.0
,0.25,0,0,0.0
туба Моллис,0.075,8930.0,15.0,133950.0
"туба зеленая, старая версия",0.1,2496.0,10.0,24960.0
,0.1,0,0,0.0
,0.05,0,0,0.0
"диспенсер, контрактное",0.03,990.0,0.0,0.0
банка для век,0.015,137.0,0.0,0.0
банка для масок для лица,0.05,423.0,0.0,0.0
крышка белая,0.25,40.0,6.0,240.0
тубус для ресниц,0.007,0.0,0.0,0.0
тубус для губ,0.006,3000.0,12.0,36000.0
тубус для сыворотки веки,0.025,-124.0,0.0,-0.0
вибронасадка для сыворотки,0.0,0.0,0.0,0.0
спреи 24/410,0.0,0.0,10.0,0.0
дойпак к боксу Рамадан,0.03,0.0,8.0,0.0
дойпак к боксу Стар скин,0.2,0.0,0.0,0.0
дойпак белый,0.25,0.0,0.0,0.0
,0.05,0,0,0.0
флакон под шампунь старая версия,0.25,2220.0,10.0,22200.0
,0.2,0,0,0.0
,0.1,0,0,0.0
,0.05,0,0,0.0
,0.05,0,0,0.0
,0.1,0,0,0.0
,0.075,0,0,0.0
флакон белый к боксу Стар Скин,0.2,270.0,0.0,0.0
коробка 40х40х30,0.0,0.0,65.0,0.0
коробка 60Х40Х40,0.0,0.0,100.0,0.0
гофролист 1200Х800,0.0,0.0,34.0,0.0
дойпак золотистый,0.2,-80.0,12.0,-960.0
дойпак серебристый,0.2,-6.0,12.0,-72.0
бочка с хомутом б/у,170.0,10.0,0.0,0.0
бочка п/э  б/у,200.0,7.0,0.0,0.0
крышка завинчивающаяся 28Х410 протей,0.0,12300.0,0.0,0.0
,1,0,0,0.0
флакон белый под интимгель Упаковка 24,0.25,603.0,0.0,0.0
,0.25,0,0,0.0
флакон прозрачный 200 мл,0.0,0.0,10.0,0.0
флакон прозрачный 100 мл,0.1,1416.0,10.0,14160.0
флакон белый 500 мл под кератолитик,0.5,1255.0,25.0,31375.0
флакон прозрачный 300 мл под мыло ,0.3,4802.0,10.0,48020.0
флакон белый 1000 мл под посуду,1.0,14832.0,0.0,0.0
флакон стекляный 30 мл,0.03,-1022.0,15.0,-15330.0
флакон стекляный 10 мл коричневый,0.01,562.0,10.0,5620.0
дозатор прозрачный 24/410 для шампуня,0.0,1000.0,14.0,14000.0
туба белая 50 мл,0.05,-228.0,10.0,-2280.0
туба белая 100 мл,0.1,-210.0,10.0,-2100.0
туба белая 75 мл,0.075,0.0,10.0,0.0
канистра 3 л,3.0,4629.0,32.0,148128.0
канистра 5 л,5.0,6976.0,32.0,223232.0
банка прозрачная 500 мл,0.5,5963.0,10.0,59630.0
банка прозрачная 250 мл,0.25,448.0,10.0,4480.0
банка прозрачная 200 мл,0.2,384.0,10.0,3840.0
диспенсер 50 мл,0.05,62.0,50.0,3100.0
диспенсер 100 мл,0.1,-31.0,60.0,-1860.0
крышка белая d 89мм,0.0,1520.0,6.0,9120.0
крышка черная d 89мм,0.0,0.0,6.0,0.0
отсекатель d 89мм,0.0,1040.0,6.0,6240.0
банка к боксу Стар Скин 50 мл,0.05,0.0,0.0,0.0
банка к боксу Стар Скин 10 мл,0.01,0.0,0.0,0.0
банка коричневая 50 мл,0.05,0.0,0.0,0.0
банка коричневая 100 мл,0.1,223.0,0.0,0.0
туба белая 30 мл,0.03,0.0,0.0,0.0
дозатор черный 24/410,0.0,672.0,0.0,0.0
флакон коричневый 200 мл,0.0,672.0,0.0,0.0
флакон белый матовый 1000 мл,1.0,1024.0,25.0,25600.0
флакон прозрачный 250 мл под шампун,0.25,756.0,25.0,18900.0
флакон белый глянцевый 1000 мл под посуду,1.0,14832.0,2.0,29664.0
x,5.0,122.0,12.0,1464.0
