name,container volume,count,volume,cost,container name,sum cost
день Роза,0.05,103.0,5.15,17.979665,туба день роза,1851.905495
день Зрелая,0.05,43.0,2.15,18.492705,туба день зрелая,795.186315
день Лаванда,0.05,108.0,5.4,18.2305,туба день лаванда,1968.894
ночь Роза,0.05,102.0,5.1000000000000005,19.60724,туба ночь роза,1999.93848
ночь Зрелая,0.05,103.0,5.15,19.135237500000002,туба ночь зрелая,1970.9294625000002
ночь Лаванда,0.05,202.0,10.100000000000001,18.768225,туба ночь лаванда,3791.18145
маска для лица Очищающая,0.05,198.0,9.9,4.115575,банка для масок для лица,814.8838499999999
маска для лица Увлажняющая,0.05,149.0,7.45,9.65506,банка для масок для лица,1438.6039400000002
маска для лица с АХА-КИСЛОТАМИ,0.05,31.0,1.55,13.199075000000002,банка для масок для лица,409.1713250000001
тоник,0.1,49.0,4.9,45.462599999999995,флакон белый под тоник,2227.6674
крем веки Питательный,0.015,85.0,1.275,2.04621,банка для век,173.92784999999998
крем веки от Темных кругов,0.015,133.0,1.9949999999999999,3.3580724999999996,банка для век,446.62364249999996
крем веки от Первых морщин,0.015,146.0,2.19,2.2449,банка для век,327.7554
крем веки с Лифтинг эффектом,0.015,189.0,2.835,3.6955724999999995,банка для век,698.4632024999999
крем для лица Увлажняющий,0.05,0.0,0.0,12.286700000000003,туба белая,0.0
крем от пигментных пятен,0.05,0.0,0.0,10.062000000000001,туба белая,0.0
молочко для умывания,0.1,0.0,0.0,17.611125,флакон белый под умывалки,0.0
гель для умывания,0.1,0.0,0.0,22.611960000000003,флакон белый под умывалки,0.0
мусс для умывания,0.1,0.0,0.0,38.530375,флакон под мусс для умывания,0.0
гидрофильное масло,0.1,0.0,0.0,60.10880000000001,флакон белый под умывалки,0.0
масло для ресниц,0.007,0.0,0.0,6.3451325,тубус для ресниц,0.0
бальзам для губ Шоколадный,0.006,0.0,0.0,17.310000000000002,тубус для губ,0.0
бальзам для губ Медовый,0.006,0.0,0.0,17.334,тубус для губ,0.0
бальзам для губ Апельсиновый,0.006,0.0,0.0,17.3442,тубус для губ,0.0
бальзам для губ Облепиха,0.006,0.0,0.0,17.319,тубус для губ,0.0
бальзам для губ Клубничный,0.006,0.0,0.0,17.3535,тубус для губ,0.0
сыворотка вокруг глаз,0.025,0.0,0.0,17.262125,тубус для сыворотки веки,0.0
шампунь норм,0.25,0.0,0.0,80.82478750000001,флакон прозрачный под шампунь,0.0
шампунь жир,0.25,0.0,0.0,80.60728750000001,флакон прозрачный под шампунь,0.0
шампунь сух,0.25,0.0,0.0,80.89228750000001,флакон прозрачный под шампунь,0.0
бальзам интенсивного восстановления,0.25,0.0,0.0,58.977562500000005,флакон прозрачный под шампунь,0.0
бальзам для окрашенных волос,0.25,0.0,0.0,58.4450625,флакон прозрачный под шампунь,0.0
бальзам для волос Питание и блеск,0.25,0.0,0.0,58.605275000000006,флакон прозрачный под шампунь,0.0
сыворотка против выпадения волос,0.1,0.0,0.0,12.515945000000002,диспенсер,0.0
Маска пилинг,0.1,0.0,0.0,30.579375000000006,туба белая,0.0
скраб для тела Кофейный с мерцанием,0.2,0.0,0.0,41.93368000000001,дойпак золотистый,0.0
скраб для тела кокосовый с мерцанием,0.2,0.0,0.0,33.248000000000005,дойпак серебристый,0.0
интимгель,0.25,0.0,0.0,47.09706249999999,флакон белый под интимгель,0.0
крем для упругости груди,0.05,0.0,0.0,5.51006,диспенсер,0.0
кератолитик,0.5,0.0,0.0,51.7188,флакон белый под кератолитик,0.0
гелевый дезодорант Зеленый чай,0.1,0.0,0.0,21.24612,флакон белый под тоник,0.0
гелевый дезодорант Тропический фрукт,0.1,0.0,0.0,21.146120000000003,флакон белый под тоник,0.0
гелевый дезодорант Лайм,0.1,0.0,0.0,20.74612,флакон белый под тоник,0.0
гелевый дезодорант Мужской,0.1,0.0,0.0,20.646120000000003,флакон белый под тоник,0.0
сыворотка Супер Лифтинг,0.03,0.0,0.0,20.334713999999998,флакон стекляный,0.0
сыворотка витаминная БОМБА,0.03,0.0,0.0,19.5543045,флакон стекляный,0.0
сыворотка Анти Акне,0.03,0.0,0.0,19.8245865,флакон стекляный,0.0
маска для волос Укрепляющая,0.25,0.0,0.0,46.10006249999999,туба Укрепляющая маска,0.0
маска для волос SOS,0.25,0.0,0.0,55.78555,туба SOS маска,0.0
